USA,a01,a02,C,I,G,X,M
g01,642.2217112,648.8232293,347.1202978,5.09E-14,4.62E-07,178.3029532,-357.071822
g02,238.9790886,10555.77483,8508.271012,2080.640788,3145.054138,1921.697047,-2322.928178
L,100.5846003,9728.350219,442.7695655,104.0320394,1.71E-06,0,0
K,325.9407572,2537.71422,1053.787191,104.0320394,0.014560613,0,0
TAX,151.6702126,656.8262273,246.1493353,3.75E-10,0.003401147,0,0
ROW,a01,a02,C,I,G,X,M
g01,642.2217112,648.8232293,347.1202978,5.09E-14,4.62E-07,178.3029532,-357.071822
g02,238.9790886,10555.77483,8508.271012,2080.640788,3145.054138,1921.697047,-2322.928178
L,100.5846003,9728.350219,442.7695655,104.0320394,1.71E-06,0,0
K,325.9407572,2537.71422,1053.787191,104.0320394,0.014560613,0,0
TAX,151.6702126,656.8262273,246.1493353,3.75E-10,0.003401147,0,0