,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
SHEFC(USA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SHEF(a01,USA)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SHEF(a02,USA)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEFC(ROW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SHEF(a01,ROW)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SHEF(a02,ROW)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROGY(USA),0.0,0.2183646670000079,0.19672839699999262,0.17509212799999946,0.16364364300000267,0.15219515799999095,0.1407466730000113,0.12929818799999326,0.11784970300000297,0.16187309399998973,0.20589648500000113,0.24991987499999846,0.2939432659999963,0.3379666570000106,0.3651159019999879,0.39226514600000106,0.4194143910000112,0.4465636349999831,0.4737128799999937,0.4737050660000133,0.4736972509999937,0.4736894369999902,0.47368162199999997,0.4736738079999965,0.4497907440000013,0.42590767900000337,0.40202461499999664,0.3781415499999934,0.35425848600000975,0.3229356839999973,0.29161288200000257,0.26029008099999196,0.2289672790000079,0.1976444769999972,0.17537755600000615,0.153110634999992,0.1308437140000116,0.1085767929999939,0.08630987200000106,0.0990120420000018,0.11171421200000253,0.12441638099999253,0.13711855100001458,0.149820720999994,0.15391477499999695,0.1580088289999999,0.16210288200000278,0.16619693599999685,0.1702909899999998,0.16669065199999977,0.1630903140000033,0.1594899749999943,0.15588963699999425,0.15228929899998533,0.1640225730000111,0.17575584700001556,0.1874891219999828,0.19922239600001035,0.21095566999998994,0.19352300399999578,0.17609033800000162,0.15865767300000577,0.14122500700000096,0.12379234099999614,0.10867141499999455,0.09355048899999296,0.07842956199999307,0.06330863599999326,0.048187710000002326,0.04316461199998045,0.03814151299999935,0.033118415000011225,0.028095316000008808,0.023072217999999367,0.020764995999988045,0.01845777400000337,0.01615055299999213,0.013843331000007453,0.011536108999999684,0.009228886999990138,0.006921665000003685,0.004614443999994222,0.0023072220000095456
ROGY(ROW),0.0,0.2183646670000079,0.19672839699999262,0.17509212799999946,0.16364364300000267,0.15219515799999095,0.1407466730000113,0.12929818799999326,0.11784970300000297,0.1618730939999924,0.2058964850000038,0.24991987500000157,0.2939432659999963,0.3379666570000106,0.3651159019999879,0.39226514600000373,0.4194143910000112,0.44656363499998886,0.4737128799999928,0.4737050660000186,0.4736972509999937,0.4736894369999973,0.4736816219999991,0.4736738080000027,0.4497907440000004,0.42590767900000426,0.402024615000002,0.3781415499999934,0.354258486000008,0.32293568399999906,0.29161288199999724,0.26029008099999196,0.2289672790000079,0.1976444769999972,0.17537755600000615,0.153110634999992,0.1308437140000116,0.10857679299999212,0.08630987200000106,0.0990120420000018,0.11171421200000253,0.12441638099999253,0.13711855100001458,0.14982072100000465,0.15391477499999695,0.15800882900000168,0.16210288200000278,0.16619693599999685,0.17029098999999803,0.16669065200000155,0.1630903140000033,0.15948997500000495,0.15588963699999425,0.1522892989999871,0.1640225730000111,0.1757558470000138,0.1874891219999828,0.19922239600001035,0.21095566999998994,0.19352300399999578,0.17609033800000162,0.15865767299999511,0.14122500700000096,0.12379234099999614,0.10867141499999455,0.09355048899999296,0.07842956199999307,0.06330863599999326,0.048187710000002326,0.043164611999978675,0.038141513000001126,0.033118415000011225,0.02809531599998749,0.02307221799999759,0.02076499599998982,0.018457774000001592,0.016150552999993906,0.013843331000007453,0.011536108999999684,0.009228886999988362,0.006921665000003685,0.0046144439999959985,0.0023072220000077692
"SHL(USA,a01)",0.0,0.2183646670000079,0.4150930640000005,0.590185192,0.7538288350000026,0.9060239929999936,1.046770666000005,1.1760688539999982,1.2939185570000011,1.4557916509999909,1.661688135999992,1.9116080109999904,2.2055512769999868,2.5435179339999974,2.9086338359999853,3.3008989819999863,3.7203133729999975,4.166877007999981,4.640589887999974,5.114294953999988,5.587992204999981,6.0616816419999715,6.5353632639999715,7.009037071999968,7.458827815999969,7.884735494999973,8.28676010999997,8.664901659999963,9.019160145999972,9.34209582999997,9.633708711999972,9.893998792999964,10.122966071999972,10.32061054899997,10.495988104999975,10.649098739999967,10.779942453999979,10.888519246999973,10.974829118999974,11.073841160999976,11.185555372999978,11.309971753999971,11.447090304999985,11.59691102599998,11.750825800999976,11.908834629999976,12.070937511999979,12.237134447999976,12.407425437999976,12.574116089999976,12.737206403999979,12.896696378999973,13.052586015999967,13.204875314999953,13.368897887999964,13.54465373499998,13.732142856999962,13.931365252999973,14.142320922999962,14.335843926999958,14.51193426499996,14.670591937999966,14.811816944999967,14.935609285999963,15.044280700999957,15.13783118999995,15.216260751999943,15.279569387999937,15.327757097999939,15.37092170999992,15.409063222999919,15.44218163799993,15.470276953999939,15.493349171999938,15.514114167999926,15.53257194199993,15.548722494999922,15.562565825999929,15.574101934999929,15.583330821999919,15.590252486999923,15.594866930999917,15.597174152999926
"SHL(USA,a02)",0.0,0.2183646670000079,0.4150930640000005,0.590185192,0.7538288350000026,0.9060239929999936,1.046770666000005,1.1760688539999982,1.2939185570000011,1.4557916509999909,1.661688135999992,1.9116080109999904,2.2055512769999868,2.5435179339999974,2.9086338359999853,3.3008989819999863,3.7203133729999975,4.166877007999981,4.640589887999974,5.114294953999988,5.587992204999981,6.0616816419999715,6.5353632639999715,7.009037071999968,7.458827815999969,7.884735494999973,8.28676010999997,8.664901659999963,9.019160145999972,9.34209582999997,9.633708711999972,9.893998792999964,10.122966071999972,10.32061054899997,10.495988104999975,10.649098739999967,10.779942453999979,10.888519246999973,10.974829118999974,11.073841160999976,11.185555372999978,11.309971753999971,11.447090304999985,11.59691102599998,11.750825800999976,11.908834629999976,12.070937511999979,12.237134447999976,12.407425437999976,12.574116089999976,12.737206403999979,12.896696378999973,13.052586015999967,13.204875314999953,13.368897887999964,13.54465373499998,13.732142856999962,13.931365252999973,14.142320922999962,14.335843926999958,14.51193426499996,14.670591937999966,14.811816944999967,14.935609285999963,15.044280700999957,15.13783118999995,15.216260751999943,15.279569387999937,15.327757097999939,15.37092170999992,15.409063222999919,15.44218163799993,15.470276953999939,15.493349171999938,15.514114167999926,15.53257194199993,15.548722494999922,15.562565825999929,15.574101934999929,15.583330821999919,15.590252486999923,15.594866930999917,15.597174152999926
"SHL(ROW,a01)",0.0,0.2183646670000079,0.4150930640000005,0.590185192,0.7538288350000026,0.9060239929999936,1.046770666000005,1.1760688539999982,1.2939185570000011,1.4557916509999935,1.6616881359999973,1.9116080109999989,2.205551276999995,2.543517934000006,2.9086338359999937,3.3008989819999974,3.7203133730000086,4.1668770079999975,4.64058988799999,5.114294954000009,5.587992205000003,6.061681642,6.535363263999999,7.009037072000002,7.458827816000002,7.884735495000006,8.286760110000008,8.664901660000002,9.01916014600001,9.342095830000009,9.633708712000006,9.893998792999998,10.122966072000006,10.320610549000003,10.49598810500001,10.649098740000001,10.779942454000013,10.888519247000005,10.974829119000006,11.073841161000008,11.18555537300001,11.309971754000003,11.447090305000017,11.596911026000022,11.750825801000019,11.90883463000002,12.070937512000024,12.23713444800002,12.407425438000018,12.57411609000002,12.737206404000023,12.896696379000028,13.052586016000022,13.20487531500001,13.36889788800002,13.544653735000034,13.732142857000017,13.931365253000028,14.142320923000018,14.335843927000013,14.511934265000015,14.67059193800001,14.811816945000011,14.935609286000007,15.044280701000002,15.137831189999995,15.216260751999988,15.279569387999981,15.327757097999983,15.370921709999962,15.409063222999963,15.442181637999974,15.470276953999962,15.49334917199996,15.51411416799995,15.53257194199995,15.548722494999945,15.562565825999952,15.574101934999952,15.58333082199994,15.590252486999944,15.59486693099994,15.597174152999948
"SHL(ROW,a02)",0.0,0.2183646670000079,0.4150930640000005,0.590185192,0.7538288350000026,0.9060239929999936,1.046770666000005,1.1760688539999982,1.2939185570000011,1.4557916509999935,1.6616881359999973,1.9116080109999989,2.205551276999995,2.543517934000006,2.9086338359999937,3.3008989819999974,3.7203133730000086,4.1668770079999975,4.64058988799999,5.114294954000009,5.587992205000003,6.061681642,6.535363263999999,7.009037072000002,7.458827816000002,7.884735495000006,8.286760110000008,8.664901660000002,9.01916014600001,9.342095830000009,9.633708712000006,9.893998792999998,10.122966072000006,10.320610549000003,10.49598810500001,10.649098740000001,10.779942454000013,10.888519247000005,10.974829119000006,11.073841161000008,11.18555537300001,11.309971754000003,11.447090305000017,11.596911026000022,11.750825801000019,11.90883463000002,12.070937512000024,12.23713444800002,12.407425438000018,12.57411609000002,12.737206404000023,12.896696379000028,13.052586016000022,13.20487531500001,13.36889788800002,13.544653735000034,13.732142857000017,13.931365253000028,14.142320923000018,14.335843927000013,14.511934265000015,14.67059193800001,14.811816945000011,14.935609286000007,15.044280701000002,15.137831189999995,15.216260751999988,15.279569387999981,15.327757097999983,15.370921709999962,15.409063222999963,15.442181637999974,15.470276953999962,15.49334917199996,15.51411416799995,15.53257194199995,15.548722494999945,15.562565825999952,15.574101934999952,15.58333082199994,15.590252486999944,15.59486693099994,15.597174152999948
